date,home_team,away_team,league,source,home_odds,draw_odds,away_odds,data_timestamp
2025-04-22,Atletico Madrid,Sevilla,La Liga,sofascore,2.91,3.78,3.19,2025-04-19T14:41:32.751268
2025-04-22,Inter,Milan,Serie A,sofascore,3.39,4.37,2.29,2025-04-19T14:41:32.751270
2025-04-22,Juventus,Napoli,Serie A,sofascore,2.82,3.78,2.22,2025-04-19T14:41:32.751273
2025-04-22,Bayern Munich,Dortmund,Bundesliga,sofascore,3.64,2.08,3.18,2025-04-19T14:41:32.751275
2025-04-22,Leipzig,Leverkusen,Bundesliga,sofascore,1.5,3.67,3.18,2025-04-19T14:41:32.751278
2025-04-22,PSG,Marseille,Ligue 1,sofascore,3.42,3.42,2.83,2025-04-19T14:41:32.751280
2025-04-22,Lyon,Monaco,Ligue 1,sofascore,3.62,3.61,3.96,2025-04-19T14:41:32.751282
2025-04-23,Manchester City,Liverpool,Premier League,sofascore,2.78,4.89,2.68,2025-04-19T14:41:32.751284
2025-04-23,Chelsea,Arsenal,Premier League,sofascore,2.98,2.31,1.86,2025-04-19T14:41:32.751289
2025-04-23,Real Madrid,Barcelona,La Liga,sofascore,3.59,2.89,2.26,2025-04-19T14:41:32.751292
2025-04-23,Atletico Madrid,Sevilla,La Liga,sofascore,3.48,4.53,3.06,2025-04-19T14:41:32.751294
2025-04-23,Inter,Milan,Serie A,sofascore,3.18,4.09,1.69,2025-04-19T14:41:32.751296
2025-04-23,Juventus,Napoli,Serie A,sofascore,3.88,4.28,3.28,2025-04-19T14:41:32.751298
2025-04-23,Bayern Munich,Dortmund,Bundesliga,sofascore,3.65,3.85,2.71,2025-04-19T14:41:32.751300
2025-04-23,Leipzig,Leverkusen,Bundesliga,sofascore,3.96,2.42,1.98,2025-04-19T14:41:32.751302
2025-04-23,PSG,Marseille,Ligue 1,sofascore,2.27,2.92,2.96,2025-04-19T14:41:32.751304
2025-04-23,Lyon,Monaco,Ligue 1,sofascore,3.67,2.47,2.47,2025-04-19T14:41:32.751307
2025-04-24,Manchester City,Liverpool,Premier League,sofascore,3.6,4.45,3.89,2025-04-19T14:41:32.751309
2025-04-24,Chelsea,Arsenal,Premier League,sofascore,2.46,4.63,3.01,2025-04-19T14:41:32.751311
2025-04-24,Real Madrid,Barcelona,La Liga,sofascore,2.95,3.93,2.6,2025-04-19T14:41:32.751313
2025-04-24,Atletico Madrid,Sevilla,La Liga,sofascore,2.69,3.47,3.43,2025-04-19T14:41:32.751316
2025-04-24,Inter,Milan,Serie A,sofascore,3.22,3.48,3.71,2025-04-19T14:41:32.751318
2025-04-24,Juventus,Napoli,Serie A,sofascore,2.5,4.01,3.5,2025-04-19T14:41:32.751320
2025-04-24,Bayern Munich,Dortmund,Bundesliga,sofascore,1.57,2.89,3.84,2025-04-19T14:41:32.751322
2025-04-24,Leipzig,Leverkusen,Bundesliga,sofascore,1.52,2.08,1.87,2025-04-19T14:41:32.751324
2025-04-24,PSG,Marseille,Ligue 1,sofascore,3.65,2.4,2.7,2025-04-19T14:41:32.751326
2025-04-24,Lyon,Monaco,Ligue 1,sofascore,2.85,4.81,2.18,2025-04-19T14:41:32.751329
2025-04-25,Manchester City,Liverpool,Premier League,sofascore,2.19,2.43,2.94,2025-04-19T14:41:32.751331
2025-04-25,Chelsea,Arsenal,Premier League,sofascore,3.67,2.96,1.71,2025-04-19T14:41:32.751333
2025-04-25,Real Madrid,Barcelona,La Liga,sofascore,3.67,2.4,2.49,2025-04-19T14:41:32.751335
2025-04-25,Atletico Madrid,Sevilla,La Liga,sofascore,3.21,4.68,2.37,2025-04-19T14:41:32.751337
2025-04-25,Inter,Milan,Serie A,sofascore,2.55,3.84,2.85,2025-04-19T14:41:32.751353
2025-04-25,Juventus,Napoli,Serie A,sofascore,2.16,3.91,3.02,2025-04-19T14:41:32.751356
2025-04-25,Bayern Munich,Dortmund,Bundesliga,sofascore,3.28,4.92,2.72,2025-04-19T14:41:32.751358
2025-04-25,Leipzig,Leverkusen,Bundesliga,sofascore,2.55,4.38,3.36,2025-04-19T14:41:32.751361
2025-04-25,PSG,Marseille,Ligue 1,sofascore,2.34,3.61,3.27,2025-04-19T14:41:32.751363
2025-04-25,Lyon,Monaco,Ligue 1,sofascore,3.88,3.2,1.89,2025-04-19T14:41:32.751365
