asian_handicap,away_form,away_odds,away_possession,away_shots,away_team,btts_no,btts_yes,date,draw_odds,home_form,home_odds,home_possession,home_shots,home_team,league,over_under_2.5,source,time
,W5D1L2,1.68,57%,13,Bayern Munich,,,2025-04-21,3.32,W4D0L1,2.08,42%,15,Dortmund,Bundesliga,,WhoScored,16:00
,W2D1L0,2.95,52%,5,Celtic,,,2025-04-26,3.5,W3D0L3,3.87,59%,5,Hibernian,Scottish Premiership,,WhoScored,12:00
,W5D0L3,2.48,48%,16,Hibernian,,,2025-04-25,3.75,W3D1L2,2.8,47%,12,Dundee United,Scottish Premiership,,WhoScored,13:00
,W3D2L2,2.74,52%,7,Manchester United,,,2025-04-23,4.31,W1D0L1,3.73,42%,6,Tottenham,Premier League,,WhoScored,19:00
,W4D2L2,1.65,43%,10,Sporting CP,,,2025-04-24,4.07,W4D2L3,2.39,52%,16,Guimaraes,Primeira Liga,,WhoScored,16:00
,W1D2L0,3.84,59%,12,Real Madrid,,,2025-04-19,4.59,W4D1L0,2.28,40%,19,Sevilla,La Liga,,WhoScored,12:00
,W3D1L2,1.69,51%,12,Villarreal,,,2025-04-23,2.27,W5D1L3,2.35,45%,16,Barcelona,La Liga,,WhoScored,14:00
,W5D0L3,1.89,57%,11,Liverpool,,,2025-04-23,4.93,W3D1L3,3.36,57%,10,Manchester City,Premier League,,WhoScored,18:00
,W3D0L2,1.54,53%,6,Inter,,,2025-04-20,3.53,W4D0L1,2.98,54%,18,Napoli,Serie A,,WhoScored,14:00
,W2D1L2,3.64,53%,15,Real Sociedad,,,2025-04-20,4.47,W2D2L0,3.8,44%,17,Real Madrid,La Liga,,WhoScored,16:00
,W2D0L3,3.7,45%,16,Inter,,,2025-04-24,4.82,W2D0L1,2.26,59%,15,Lazio,Serie A,,WhoScored,21:00
,W2D2L3,3.94,42%,20,Napoli,,,2025-04-22,4.5,W3D1L2,3.01,44%,14,Milan,Serie A,,WhoScored,15:00
,W4D0L3,2.01,54%,17,Sheffield United,,,2025-04-22,3.83,W4D0L0,3.66,46%,9,Watford,Championship,,WhoScored,13:00
,W1D1L2,3.39,60%,7,West Brom,,,2025-04-23,2.11,W1D1L0,3.97,55%,18,Burnley,Championship,,WhoScored,19:00
,W4D0L3,1.69,41%,6,Inter Miami,,,2025-04-19,2.2,W4D2L2,2.68,58%,16,Toronto FC,MLS,,WhoScored,15:00
,W1D2L2,2.64,44%,6,Feyenoord,,,2025-04-26,2.47,W1D2L2,1.57,41%,10,AZ Alkmaar,Eredivisie,,WhoScored,19:00
,W2D0L2,2.47,50%,7,AZ Alkmaar,,,2025-04-19,3.65,W1D1L2,3.0,55%,6,Feyenoord,Eredivisie,,WhoScored,13:00
,W5D0L1,3.99,50%,7,Vitoria,,,2025-04-25,4.63,W4D0L2,2.53,44%,16,Braga,Primeira Liga,,WhoScored,16:00
,W5D2L1,3.99,48%,12,Dortmund,,,2025-04-20,4.94,W1D1L2,2.28,55%,10,Leipzig,Bundesliga,,WhoScored,12:00
,W4D0L0,1.87,50%,9,Inter Miami,,,2025-04-21,3.83,W5D1L2,1.64,43%,19,Toronto FC,MLS,,WhoScored,16:00
+2.0,,2.24,,,PSG,2.14,2.13,2025-04-21,2.43,,2.82,,,Lille,Ligue 1,2.39,OddsPortal,21:00
+1.5,,1.94,,,Liverpool,1.98,2.1,2025-04-21,4.54,,2.07,,,Manchester United,Premier League,2.43,OddsPortal,21:00
+2.0,,3.33,,,Utrecht,2.0,2.01,2025-04-20,2.77,,2.21,,,AZ Alkmaar,Eredivisie,1.89,OddsPortal,14:00
+0.5,,2.22,,,Hearts,2.32,1.6,2025-04-26,4.49,,3.42,,,Rangers,Scottish Premiership,2.4,OddsPortal,21:00
+2.0,,2.44,,,AZ Alkmaar,2.24,2.12,2025-04-20,3.34,,3.43,,,Utrecht,Eredivisie,1.88,OddsPortal,12:00
+1.5,,2.9,,,Seattle Sounders,2.03,2.19,2025-04-19,4.8,,1.55,,,LA Galaxy,MLS,2.14,OddsPortal,19:00
-1.5,,2.03,,,Villarreal,2.18,2.01,2025-04-20,2.91,,3.41,,,Sevilla,La Liga,1.55,OddsPortal,15:00
+2.0,,2.78,,,Twente,2.19,1.81,2025-04-20,3.71,,3.84,,,Feyenoord,Eredivisie,1.7,OddsPortal,15:00
-1.0,,2.73,,,Chelsea,2.14,1.77,2025-04-20,3.58,,2.13,,,Manchester City,Premier League,2.05,OddsPortal,18:00
-0.5,,3.43,,,Inter Miami,1.75,2.11,2025-04-22,3.28,,1.66,,,Seattle Sounders,MLS,2.23,OddsPortal,17:00
-1.0,,1.73,,,West Brom,2.39,2.01,2025-04-26,2.36,,1.7,,,Burnley,Championship,2.36,OddsPortal,20:00
+2.0,,1.78,,,Benfica,1.92,2.0,2025-04-21,4.3,,2.69,,,Porto,Primeira Liga,1.92,OddsPortal,18:00
+1.5,,1.92,,,Vitoria,2.17,1.82,2025-04-24,3.1,,2.59,,,Sporting CP,Primeira Liga,2.29,OddsPortal,21:00
-1.0,,3.2,,,Dortmund,2.38,1.51,2025-04-20,3.34,,1.55,,,Leverkusen,Bundesliga,2.33,OddsPortal,14:00
+2.0,,3.03,,,Villarreal,2.15,1.71,2025-04-24,2.07,,2.5,,,Real Madrid,La Liga,1.81,OddsPortal,21:00
+1.0,,2.24,,,Lazio,1.95,1.98,2025-04-20,4.72,,2.43,,,Roma,Serie A,2.01,OddsPortal,16:00
+1.5,,3.03,,,Lazio,2.12,1.98,2025-04-19,2.5,,3.9,,,Napoli,Serie A,2.14,OddsPortal,15:00
-1.0,,3.02,,,Bayern Munich,2.16,1.86,2025-04-20,2.47,,3.17,,,Wolfsburg,Bundesliga,2.1,OddsPortal,16:00
-2.0,,1.6,,,Sheffield United,2.19,1.91,2025-04-24,3.17,,4.0,,,Watford,Championship,2.15,OddsPortal,13:00
-0.5,,2.03,,,Wolfsburg,1.78,1.81,2025-04-19,3.97,,3.51,,,Frankfurt,Bundesliga,2.16,OddsPortal,17:00
-1.5,,1.55,,,AZ Alkmaar,1.86,1.59,2025-04-22,4.51,,3.05,,,Twente,Eredivisie,1.6,OddsPortal,19:00
-1.0,,1.68,,,Ajax,2.22,1.57,2025-04-19,2.11,,1.65,,,PSV,Eredivisie,1.53,OddsPortal,14:00
+1.5,,1.7,,,Arsenal,1.9,1.51,2025-04-22,4.82,,3.93,,,Liverpool,Premier League,2.39,OddsPortal,15:00
+1.0,,2.17,,,NYCFC,2.09,1.52,2025-04-22,3.81,,2.07,,,Atlanta United,MLS,1.93,OddsPortal,16:00
-1.5,,3.15,,,Villarreal,2.13,1.87,2025-04-23,2.44,,3.82,,,Sevilla,La Liga,2.17,OddsPortal,13:00
+2.0,,2.94,,,Chelsea,1.75,2.07,2025-04-21,2.26,,3.2,,,Manchester United,Premier League,1.82,OddsPortal,16:00
+2.0,,1.84,,,Wolfsburg,2.17,1.94,2025-04-22,3.47,,2.44,,,Leverkusen,Bundesliga,1.72,OddsPortal,19:00
+0.5,,2.78,,,Braga,2.33,2.05,2025-04-22,4.13,,3.85,,,Guimaraes,Primeira Liga,2.47,OddsPortal,12:00
-1.0,,2.69,,,Chelsea,1.96,1.81,2025-04-25,3.39,,3.15,,,Manchester United,Premier League,1.69,OddsPortal,20:00
+1.5,,3.68,,,Dundee United,2.44,1.51,2025-04-20,3.13,,1.78,,,Celtic,Scottish Premiership,1.9,OddsPortal,14:00
+2.0,,3.91,,,Lille,1.8,2.03,2025-04-24,2.72,,1.82,,,Lyon,Ligue 1,2.37,OddsPortal,16:00
-2.0,,3.24,,,Tottenham,2.22,1.69,2025-04-23,2.65,,2.02,,,Manchester City,Premier League,2.23,OddsPortal,12:00
-2.0,,3.4,,,Middlesbrough,1.88,1.74,2025-04-22,4.12,,2.53,,,Sheffield United,Championship,1.76,OddsPortal,15:00
-2.0,,3.21,,,Burnley,1.87,1.63,2025-04-24,2.42,,1.82,,,Watford,Championship,2.49,OddsPortal,21:00
+1.5,,2.44,,,West Brom,1.89,2.17,2025-04-20,4.09,,2.57,,,Middlesbrough,Championship,1.55,OddsPortal,15:00
,,1.84,,,Wolfsburg,,,2025-04-23,3.96,,3.0,,,Leverkusen,Bundesliga,,FCTables,14:00
,,1.88,,,Braga,,,2025-04-20,3.7,,3.63,,,Porto,Primeira Liga,,FCTables,15:00
