date,time,league,home_team,away_team,home_odds,draw_odds,away_odds,home_form,away_form,source
2025-04-21,19:00,Serie A,Inter,Milan,3.02,2.09,2.42,W4D2L2,W5D2L0,SofaScore
2025-04-21,21:00,Serie A,Juventus,Napoli,2.59,4.81,2.91,W2D1L1,W5D0L2,SofaScore
2025-04-21,16:00,Bundesliga,Bayern Munich,Dortmund,3.09,3.84,2.88,W1D0L0,W1D1L0,SofaScore
2025-04-21,14:00,Bundesliga,Leipzig,Leverkusen,2.31,2.68,2.59,W3D2L0,W3D0L1,SofaScore
2025-04-21,15:00,Ligue 1,PSG,Marseille,1.61,2.95,1.97,W3D0L3,W5D2L3,SofaScore
2025-04-21,13:00,Ligue 1,Lyon,Monaco,1.84,3.34,3.02,W4D0L0,W5D0L1,SofaScore
2025-04-22,15:00,Premier League,Manchester City,Liverpool,3.74,3.7,3.85,W3D1L0,W1D2L1,SofaScore
2025-04-22,16:00,Premier League,Chelsea,Arsenal,1.67,4.04,2.6,W3D2L3,W4D0L3,SofaScore
2025-04-22,19:00,La Liga,Real Madrid,Barcelona,2.72,2.58,3.5,W2D0L3,W4D1L3,SofaScore
2025-04-22,12:00,La Liga,Atletico Madrid,Sevilla,3.34,3.33,3.61,W3D1L2,W1D2L2,SofaScore
2025-04-22,20:00,Serie A,Inter,Milan,2.13,2.08,2.81,W4D1L1,W3D1L1,SofaScore
2025-04-22,17:00,Serie A,Juventus,Napoli,3.25,3.11,2.74,W2D1L3,W5D1L0,SofaScore
2025-04-22,12:00,Bundesliga,Bayern Munich,Dortmund,3.97,3.4,1.8,W5D2L0,W2D1L3,SofaScore
2025-04-22,14:00,Bundesliga,Leipzig,Leverkusen,2.41,3.92,2.45,W1D1L1,W5D2L3,SofaScore
2025-04-22,13:00,Ligue 1,PSG,Marseille,3.01,2.95,3.02,W2D1L1,W3D2L1,SofaScore
2025-04-22,12:00,Ligue 1,Lyon,Monaco,3.9,4.07,2.18,W1D1L2,W4D2L1,SofaScore
2025-04-23,14:00,Premier League,Manchester City,Liverpool,2.61,3.99,3.87,W5D2L3,W1D1L0,SofaScore
2025-04-23,18:00,Premier League,Chelsea,Arsenal,2.9,4.54,2.14,W4D0L3,W1D1L3,SofaScore
2025-04-23,21:00,La Liga,Real Madrid,Barcelona,2.17,4.24,3.71,W5D1L2,W3D2L0,SofaScore
2025-04-23,21:00,La Liga,Atletico Madrid,Sevilla,2.26,4.18,3.11,W3D1L3,W4D1L3,SofaScore
2025-04-23,16:00,Serie A,Inter,Milan,1.82,4.82,3.96,W2D1L0,W1D0L0,SofaScore
2025-04-23,17:00,Serie A,Juventus,Napoli,3.84,4.24,3.05,W5D0L1,W4D2L3,SofaScore
2025-04-23,14:00,Bundesliga,Bayern Munich,Dortmund,2.43,2.83,2.55,W5D0L0,W2D2L2,SofaScore
2025-04-23,18:00,Bundesliga,Leipzig,Leverkusen,1.83,3.05,3.64,W4D0L3,W5D0L2,SofaScore
2025-04-23,15:00,Ligue 1,PSG,Marseille,2.04,4.84,3.18,W3D1L3,W5D0L0,SofaScore
2025-04-23,21:00,Ligue 1,Lyon,Monaco,2.43,3.81,2.6,W4D1L3,W3D0L0,SofaScore
2025-04-24,13:00,Premier League,Manchester City,Liverpool,2.5,4.12,3.42,W2D1L0,W5D1L2,SofaScore
2025-04-24,16:00,Premier League,Chelsea,Arsenal,3.69,3.51,1.61,W3D1L1,W3D1L1,SofaScore
2025-04-24,14:00,La Liga,Real Madrid,Barcelona,1.71,3.97,2.36,W4D1L2,W5D1L3,SofaScore
2025-04-24,20:00,La Liga,Atletico Madrid,Sevilla,3.77,3.81,2.88,W3D0L0,W1D1L1,SofaScore
2025-04-24,15:00,Serie A,Inter,Milan,1.95,3.29,3.05,W4D2L2,W2D2L3,SofaScore
2025-04-24,19:00,Serie A,Juventus,Napoli,1.84,2.82,2.97,W3D1L2,W1D0L0,SofaScore
2025-04-24,15:00,Bundesliga,Bayern Munich,Dortmund,2.4,4.19,3.46,W2D2L0,W4D2L3,SofaScore
2025-04-24,16:00,Bundesliga,Leipzig,Leverkusen,2.45,4.47,3.91,W3D0L0,W1D0L2,SofaScore
2025-04-24,21:00,Ligue 1,PSG,Marseille,2.17,4.32,1.55,W2D0L3,W2D1L2,SofaScore
2025-04-24,20:00,Ligue 1,Lyon,Monaco,4.0,2.85,3.16,W3D2L0,W2D0L3,SofaScore
2025-04-25,15:00,Premier League,Manchester City,Liverpool,2.4,4.35,3.57,W3D0L1,W4D1L2,SofaScore
2025-04-25,15:00,Premier League,Chelsea,Arsenal,2.27,3.09,2.74,W5D0L1,W4D1L1,SofaScore
2025-04-25,17:00,La Liga,Real Madrid,Barcelona,3.49,4.07,3.89,W5D1L2,W4D0L2,SofaScore
2025-04-25,21:00,La Liga,Atletico Madrid,Sevilla,3.98,2.94,2.12,W3D0L2,W2D2L3,SofaScore
2025-04-25,21:00,Serie A,Inter,Milan,2.75,4.37,2.58,W1D2L3,W3D1L3,SofaScore
2025-04-25,20:00,Serie A,Juventus,Napoli,2.15,3.7,3.45,W1D2L2,W2D2L0,SofaScore
2025-04-25,14:00,Bundesliga,Bayern Munich,Dortmund,3.24,2.4,3.82,W4D1L3,W2D0L0,SofaScore
2025-04-25,16:00,Bundesliga,Leipzig,Leverkusen,2.36,4.22,2.39,W4D1L1,W3D1L2,SofaScore
2025-04-25,16:00,Ligue 1,PSG,Marseille,1.5,2.42,3.03,W1D1L1,W4D2L1,SofaScore
2025-04-25,18:00,Ligue 1,Lyon,Monaco,3.69,3.1,2.85,W5D2L1,W4D1L1,SofaScore
